Team1,Score,Team2,Competition,Map,Date,Page,Team 1 Score,Team 2 Score,Winning Team,Losing Team,Margin,Total Rounds,Game Type
Spirit,12-16,HAVU,ESEAMDLSeason32Europe,Mirage,2019-11-13,0,12,16,HAVU,Spirit,4,28,16
pro100,16-10,WislaKrakow,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-13,0,16,10,pro100,WislaKrakow,6,26,16
pro100,14-16,WislaKrakow,QiBanjaLuka2019EuropeQualifier,Overpass,2019-11-13,0,14,16,WislaKrakow,pro100,2,30,16
pro100,12-16,WislaKrakow,QiBanjaLuka2019EuropeQualifier,Train,2019-11-13,0,12,16,WislaKrakow,pro100,4,28,16
Uzbekistan,16-13,ARCRED,WESG2019Uzbekistan,Mirage,2019-11-13,0,16,13,Uzbekistan,ARCRED,3,29,16
Uzbekistan,16-12,ARCRED,WESG2019Uzbekistan,Overpass,2019-11-13,0,16,12,Uzbekistan,ARCRED,4,28,16
Nordavind,16-19,SKADE,LOOT.BETSeason5,Mirage,2019-11-13,0,16,19,SKADE,Nordavind,3,35,19
Nordavind,8-16 ,SKADE,LOOT.BETSeason5,Dust2,2019-11-13,0,8,16,SKADE,Nordavind,8,24,16
TYLOO,16-14,LucidDream,ESLProLeagueSeason10Asia-Pacific,Inferno,2019-11-13,0,16,14,TYLOO,LucidDream,2,30,16
TYLOO,19-17,LucidDream,ESLProLeagueSeason10Asia-Pacific,Mirage,2019-11-13,0,19,17,TYLOO,LucidDream,2,36,19
SJ,16-5 ,Nemiga,QiBanjaLuka2019EuropeQualifier,Nuke,2019-11-13,0,16,5,SJ,Nemiga,11,21,16
SJ,10-16,Nemiga,QiBanjaLuka2019EuropeQualifier,Dust2,2019-11-13,0,10,16,Nemiga,SJ,6,26,16
SJ,16-13,Nemiga,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-13,0,16,13,SJ,Nemiga,3,29,16
forZe,16-6 ,Giants,UnitedMastersLeagueSeason2,Dust2,2019-11-13,0,16,6,forZe,Giants,10,22,16
forZe,19-17,Giants,UnitedMastersLeagueSeason2,Nuke,2019-11-13,0,19,17,forZe,Giants,2,36,19
Invictus,16-7 ,AlphaRed,ESLProLeagueSeason10Asia-Pacific,Train,2019-11-13,0,16,7,Invictus,AlphaRed,9,23,16
Invictus,16-12,AlphaRed,ESLProLeagueSeason10Asia-Pacific,Overpass,2019-11-13,0,16,12,Invictus,AlphaRed,4,28,16
TYLOO,7-16 ,EHOME,EPICENTER2019ChinaQualifier,Overpass,2019-11-13,0,7,16,EHOME,TYLOO,9,23,16
TYLOO,10-16,EHOME,EPICENTER2019ChinaQualifier,Inferno,2019-11-13,0,10,16,EHOME,TYLOO,6,26,16
OneThree,7-16 ,EHOME,EPICENTER2019ChinaQualifier,Inferno,2019-11-13,0,7,16,EHOME,OneThree,9,23,16
OneThree,10-16,EHOME,EPICENTER2019ChinaQualifier,Nuke,2019-11-13,0,10,16,EHOME,OneThree,6,26,16
EHOME,7-16 ,TYLOO,EPICENTER2019ChinaQualifier,Overpass,2019-11-13,0,7,16,TYLOO,EHOME,9,23,16
EHOME,12-16,TYLOO,EPICENTER2019ChinaQualifier,Train,2019-11-13,0,12,16,TYLOO,EHOME,4,28,16
HAVU,16-11,CR4ZY,ESEAMDLSeason32Europe,Mirage,2019-11-13,0,16,11,HAVU,CR4ZY,5,27,16
HAVU,9-16 ,CR4ZY,ESEAMDLSeason32Europe,Nuke,2019-11-13,0,9,16,CR4ZY,HAVU,7,25,16
HAVU,16-5 ,CR4ZY,ESEAMDLSeason32Europe,Dust2,2019-11-13,0,16,5,HAVU,CR4ZY,11,21,16
CR4ZY,23-25,pro100,ESEAMDLSeason32Europe,Vertigo,2019-11-12,0,23,25,pro100,CR4ZY,2,48,25
CR4ZY,16-13,pro100,ESEAMDLSeason32Europe,Inferno,2019-11-12,0,16,13,CR4ZY,pro100,3,29,16
CR4ZY,16-11,pro100,ESEAMDLSeason32Europe,Dust2,2019-11-12,0,16,11,CR4ZY,pro100,5,27,16
Winstrike,22-20,Nordavind,QiBanjaLuka2019EuropeQualifier,Nuke,2019-11-12,0,22,20,Winstrike,Nordavind,2,42,22
Winstrike,16-10,Nordavind,QiBanjaLuka2019EuropeQualifier,Overpass,2019-11-12,0,16,10,Winstrike,Nordavind,6,26,16
Spirit,19-22,forZe,ESEAMDLSeason32Europe,Dust2,2019-11-12,0,19,22,forZe,Spirit,3,41,22
Spirit,22-20,forZe,ESEAMDLSeason32Europe,Inferno,2019-11-12,0,22,20,Spirit,forZe,2,42,22
Spirit,9-16 ,forZe,ESEAMDLSeason32Europe,Vertigo,2019-11-12,0,9,16,forZe,Spirit,7,25,16
IzakoBoars,10-16,Espada,LOOT.BETSeason5ClosedQualifier,Overpass,2019-11-12,0,10,16,Espada,IzakoBoars,6,26,16
IzakoBoars,16-7 ,Espada,LOOT.BETSeason5ClosedQualifier,Nuke,2019-11-12,0,16,7,IzakoBoars,Espada,9,23,16
IzakoBoars,16-2 ,Espada,LOOT.BETSeason5ClosedQualifier,Train,2019-11-12,0,16,2,IzakoBoars,Espada,14,18,16
HAVU,16-13,AVANGAR,ESEAMDLSeason32Europe,Train,2019-11-12,0,16,13,HAVU,AVANGAR,3,29,16
HAVU,16-12,AVANGAR,ESEAMDLSeason32Europe,Overpass,2019-11-12,0,16,12,HAVU,AVANGAR,4,28,16
HellRaisers,16-12,m1x,QiBanjaLuka2019EuropeQualifier,Nuke,2019-11-12,0,16,12,HellRaisers,m1x,4,28,16
HellRaisers,4-16 ,m1x,QiBanjaLuka2019EuropeQualifier,Mirage,2019-11-12,0,4,16,m1x,HellRaisers,12,20,16
HellRaisers,8-16 ,m1x,QiBanjaLuka2019EuropeQualifier,Train,2019-11-12,0,8,16,m1x,HellRaisers,8,24,16
