Team1,Score,Team2,Competition,Map
NiP,16-5 ,FURIA,StarSeriesi-LeagueSeason8,Nuke
NiP,16-5 ,FURIA,StarSeriesi-LeagueSeason8,Nuke
EvilGeniuses,16-8 ,5POWER,StarSeriesi-LeagueSeason8,Inferno
EvilGeniuses,16-10,5POWER,StarSeriesi-LeagueSeason8,Dust2
EvilGeniuses,16-10,5POWER,StarSeriesi-LeagueSeason8,Dust2
Mazaalai,16-9 ,8EASY,SEASummit2019,Train
Mazaalai,12-16,8EASY,SEASummit2019,Overpass
Mazaalai,16-10,8EASY,SEASummit2019,Mirage
Mazaalai,16-10,8EASY,SEASummit2019,Mirage
ATK,16-6 ,eUnited,ECSSeason8NorthAmericaWeek4,Inferno
ATK,8-16 ,eUnited,ECSSeason8NorthAmericaWeek4,Overpass
ATK,16-8 ,eUnited,ECSSeason8NorthAmericaWeek4,Dust2
ATK,16-8 ,eUnited,ECSSeason8NorthAmericaWeek4,Dust2
RiotSquad,11-16,Complexity,ECSSeason8NorthAmericaWeek4,Mirage
RiotSquad,12-16,Complexity,ECSSeason8NorthAmericaWeek4,Inferno
RiotSquad,12-16,Complexity,ECSSeason8NorthAmericaWeek4,Inferno
Ben'sAnimeTeam,16-2,BigFrames,ESEAMDLSeason32NorthAmerica,d2
Ben'sAnimeTeam,16-11,MAC-51,ESEAMDLSeason32NorthAmerica,mrg
Cloud9,8-16 ,INTZ,ECSSeason8NorthAmericaWeek4,Mirage
Cloud9,14-16,INTZ,ECSSeason8NorthAmericaWeek4,Inferno
Cloud9,14-16,INTZ,ECSSeason8NorthAmericaWeek4,Inferno
Liquid,16-4 ,ex-Singularity,ECSSeason8NorthAmericaWeek4,Vertigo
Liquid,16-6 ,ex-Singularity,ECSSeason8NorthAmericaWeek4,Mirage
Liquid,16-6 ,ex-Singularity,ECSSeason8NorthAmericaWeek4,Mirage
fnatic,9-16 ,Renegades,StarSeriesi-LeagueSeason8,Mirage
fnatic,13-16,Renegades,StarSeriesi-LeagueSeason8,Inferno
fnatic,13-16,Renegades,StarSeriesi-LeagueSeason8,Inferno
North,6-16 ,BIG,ECSSeason8EuropeWeek4,Mirage
North,4-16 ,BIG,ECSSeason8EuropeWeek4,Inferno
North,4-16 ,BIG,ECSSeason8EuropeWeek4,Inferno
Heretics,3-16 ,Tricked,ECSSeason8EuropeWeek4,Nuke
Heretics,4-16 ,Tricked,ECSSeason8EuropeWeek4,Dust2
Heretics,4-16 ,Tricked,ECSSeason8EuropeWeek4,Dust2
Vitality,16-8 ,North,StarSeriesi-LeagueSeason8,Inferno
Vitality,12-16,North,StarSeriesi-LeagueSeason8,Dust2
Vitality,16-6 ,North,StarSeriesi-LeagueSeason8,Nuke
Vitality,16-6 ,North,StarSeriesi-LeagueSeason8,Nuke
Spirit,16-14,Japaleno,ESEAMDLSeason32Europe,d2
Astralis,19-17,m1x,ECSSeason8EuropeWeek4,Dust2
Astralis,16-8 ,m1x,ECSSeason8EuropeWeek4,Inferno
Astralis,16-8 ,m1x,ECSSeason8EuropeWeek4,Inferno
Virtus.pro,14-16,FaZe,ECSSeason8EuropeWeek4,Train
Virtus.pro,6-16 ,FaZe,ECSSeason8EuropeWeek4,Dust2
Virtus.pro,6-16 ,FaZe,ECSSeason8EuropeWeek4,Dust2
Renegades,16-19,MIBR,StarSeriesi-LeagueSeason8,Inferno
Renegades,16-12,MIBR,StarSeriesi-LeagueSeason8,Dust2
Renegades,22-20,MIBR,StarSeriesi-LeagueSeason8,Mirage
Renegades,22-20,MIBR,StarSeriesi-LeagueSeason8,Mirage
SBC,12-16,2990,SEASummit2019,Dust2
SBC,9-16 ,2990,SEASummit2019,Inferno
SBC,9-16 ,2990,SEASummit2019,Inferno
DivisionX,14-16,D13,SEASummit2019,Dust2
DivisionX,16-9 ,D13,SEASummit2019,Nuke
DivisionX,9-16 ,D13,SEASummit2019,Vertigo
DivisionX,9-16 ,D13,SEASummit2019,Vertigo
MC,22-18,Buckets,ESEAMDLSeason32Australia,vtg
fnatic,16-7 ,Imperial,StarSeriesi-LeagueSeason8,Train
fnatic,16-14,Imperial,StarSeriesi-LeagueSeason8,Inferno
fnatic,16-14,Imperial,StarSeriesi-LeagueSeason8,Inferno
mousesports,11-16,North,StarSeriesi-LeagueSeason8,Mirage
mousesports,16-5 ,North,StarSeriesi-LeagueSeason8,Nuke
mousesports,9-16 ,North,StarSeriesi-LeagueSeason8,Train
mousesports,9-16 ,North,StarSeriesi-LeagueSeason8,Train
ZOOWEEMAMA,12-16,MC,ESEAMDLSeason32Australia,d2
SYF,16-11,Buckets,ESEAMDLSeason32Australia,d2
Vitality,16-3 ,Invictus,StarSeriesi-LeagueSeason8,Nuke
Vitality,16-3 ,Invictus,StarSeriesi-LeagueSeason8,Mirage
Vitality,16-3 ,Invictus,StarSeriesi-LeagueSeason8,Mirage
8EASY,13-16,rTE,SEASummit2019,Inferno
8EASY,2-16 ,rTE,SEASummit2019,Mirage
8EASY,2-16 ,rTE,SEASummit2019,Mirage
Mazaalai,14-16,SHIFT,SEASummit2019,Mirage
Mazaalai,14-16,SHIFT,SEASummit2019,Inferno
Mazaalai,14-16,SHIFT,SEASummit2019,Inferno
Mythic,4-16,Ben'sAnimeTeam,ESEAMDLSeason32NorthAmerica,d2
kaban,16-19,NALANE,DellGamingCup,Overpass
kaban,8-16 ,NALANE,DellGamingCup,Vertigo
kaban,8-16 ,NALANE,DellGamingCup,Vertigo
Heroic,16-3 ,CR4ZY,DreamHackOpenRotterdam2019,Nuke
Heroic,5-16 ,CR4ZY,DreamHackOpenRotterdam2019,Mirage
Heroic,12-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
Heroic,12-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
HellandKill,14-16,Chill,DellGamingCup,Mirage
HellandKill,14-16,Chill,DellGamingCup,Nuke
HellandKill,14-16,Chill,DellGamingCup,Nuke
Spirit,16-10,SMASH,SECTOR:MOSTBET,Dust2
Spirit,12-16,SMASH,SECTOR:MOSTBET,Nuke
Spirit,7-16 ,SMASH,SECTOR:MOSTBET,Train
Spirit,7-16 ,SMASH,SECTOR:MOSTBET,Train
Chill,10-16,NALANE,DellGamingCup,Dust2
Chill,16-11,NALANE,DellGamingCup,Train
Chill,17-19,NALANE,DellGamingCup,Nuke
Chill,17-19,NALANE,DellGamingCup,Nuke
AVANGAR,13-16,CR4ZY,DreamHackOpenRotterdam2019,Mirage
AVANGAR,16-14,CR4ZY,DreamHackOpenRotterdam2019,Dust2
AVANGAR,10-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
AVANGAR,10-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
WislaKrakow,5-16 ,AGO,PolishEsportLeague-WarmUpPGA,Nuke
WislaKrakow,13-16,AGO,PolishEsportLeague-WarmUpPGA,Mirage
WislaKrakow,13-16,AGO,PolishEsportLeague-WarmUpPGA,Mirage
Phoenix,16-11,Dragon,ShowmatchCS:GO,Mirage
Phoenix,19-17,Dragon,ShowmatchCS:GO,Inferno
Phoenix,19-17,Dragon,ShowmatchCS:GO,Inferno
LucidDream,10-16,AlphaRed,eXTREMESLAND2019ThailandRegionalFinals,Inferno
LucidDream,16-6 ,AlphaRed,eXTREMESLAND2019ThailandRegionalFinals,Dust2
LucidDream,14-16,AlphaRed,eXTREMESLAND2019ThailandRegionalFinals,Train
LucidDream,14-16,AlphaRed,eXTREMESLAND2019ThailandRegionalFinals,Train
kaban,19-16,HellandKill,DellGamingCup,Nuke
kaban,16-10,HellandKill,DellGamingCup,Dust2
kaban,16-10,HellandKill,DellGamingCup,Dust2
PACT,8-16 ,Unique,AlienwareGameArena2019Finals,Dust2
PACT,14-16,Unique,AlienwareGameArena2019Finals,Nuke
PACT,14-16,Unique,AlienwareGameArena2019Finals,Nuke
forZe,12-16,Heroic,DreamHackOpenRotterdam2019,Overpass
forZe,16-11,Heroic,DreamHackOpenRotterdam2019,Inferno
forZe,8-16 ,Heroic,DreamHackOpenRotterdam2019,Nuke
forZe,8-16 ,Heroic,DreamHackOpenRotterdam2019,Nuke
Ambush,5-16 ,IzakoBoars,AlienwareGameArena2019Finals,Overpass
Ambush,10-16,IzakoBoars,AlienwareGameArena2019Finals,Train
Ambush,10-16,IzakoBoars,AlienwareGameArena2019Finals,Train
TYLOO,16-7 ,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Dust2
TYLOO,16-6 ,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Mirage
TYLOO,16-6 ,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Mirage
KGG,8-16 ,AGO,PolishEsportLeague-WarmUpPGA,Nuke
KGG,5-16 ,AGO,PolishEsportLeague-WarmUpPGA,Train
KGG,5-16 ,AGO,PolishEsportLeague-WarmUpPGA,Train
Grayhound,16-14,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Inferno
Grayhound,9-16 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Mirage
Grayhound,16-7 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Dust2
Grayhound,16-7 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Dust2
AlphaRed,16-10,MiTH.Maple,eXTREMESLAND2019ThailandRegionalFinals,Overpass
AlphaRed,16-6 ,MiTH.Maple,eXTREMESLAND2019ThailandRegionalFinals,Dust2
AlphaRed,16-6 ,MiTH.Maple,eXTREMESLAND2019ThailandRegionalFinals,Dust2
ViCi,17-19,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Nuke
ViCi,16-12,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Inferno
ViCi,16-6 ,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Train
ViCi,16-6 ,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Train
Chiefs,5-16 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Vertigo
Chiefs,19-16,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Nuke
Chiefs,3-16 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Mirage
Chiefs,3-16 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Mirage
Beyond,11-16,LucidDream,eXTREMESLAND2019ThailandRegionalFinals,Train
Beyond,12-16,LucidDream,eXTREMESLAND2019ThailandRegionalFinals,Dust2
Beyond,12-16,LucidDream,eXTREMESLAND2019ThailandRegionalFinals,Dust2
Infinity,5-16 ,Sharks,ESLProLeagueSeason10Americas,Nuke
Infinity,13-16,Sharks,ESLProLeagueSeason10Americas,Overpass
Infinity,13-16,Sharks,ESLProLeagueSeason10Americas,Overpass
ORDER,19-15,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Dust2
ORDER,19-16,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Inferno
ORDER,19-16,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Inferno
DETONA,16-10,Isurus,ESLProLeagueSeason10Americas,Train
DETONA,16-13,Isurus,ESLProLeagueSeason10Americas,Dust2
DETONA,16-13,Isurus,ESLProLeagueSeason10Americas,Dust2
Malvinas,6-16 ,9z,LaLigaProTrust2019-ClausuraFinals,Inferno
Malvinas,16-13,9z,LaLigaProTrust2019-ClausuraFinals,Vertigo
Malvinas,12-16,9z,LaLigaProTrust2019-ClausuraFinals,Dust2
Malvinas,12-16,9z,LaLigaProTrust2019-ClausuraFinals,Dust2
HellRaisers,16-14,Windigo,ESLProLeagueSeason10Europe,Train
HellRaisers,16-11,Windigo,ESLProLeagueSeason10Europe,Inferno
HellRaisers,16-11,Windigo,ESLProLeagueSeason10Europe,Inferno
HAVU,10-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
HAVU,16-5 ,CR4ZY,DreamHackOpenRotterdam2019,Train
HAVU,12-16,CR4ZY,DreamHackOpenRotterdam2019,Dust2
HAVU,12-16,CR4ZY,DreamHackOpenRotterdam2019,Dust2
G2,10-16,NatusVincere,ESLProLeagueSeason10Europe,Overpass
G2,16-14,NatusVincere,ESLProLeagueSeason10Europe,Mirage
G2,13-16,NatusVincere,ESLProLeagueSeason10Europe,Dust2
G2,13-16,NatusVincere,ESLProLeagueSeason10Europe,Dust2
SJ,9-16 ,HelsinkiREDS,ElisaViihdeLeague,Dust2
SJ,16-8 ,HelsinkiREDS,ElisaViihdeLeague,Inferno
SJ,16-6 ,HelsinkiREDS,ElisaViihdeLeague,Nuke
SJ,16-6 ,HelsinkiREDS,ElisaViihdeLeague,Nuke
Heroic,8-16 ,HardLegion,DreamHackOpenRotterdam2019,Dust2
Heroic,16-6 ,HardLegion,DreamHackOpenRotterdam2019,Vertigo
Heroic,16-14,HardLegion,DreamHackOpenRotterdam2019,Overpass
Heroic,16-14,HardLegion,DreamHackOpenRotterdam2019,Overpass
AVEZ,7-16 ,WislaKrakow,PolishEsportLeague-WarmUpPGA,Inferno
AVEZ,16-11,WislaKrakow,PolishEsportLeague-WarmUpPGA,Train
AVEZ,12-16,WislaKrakow,PolishEsportLeague-WarmUpPGA,Dust2
AVEZ,12-16,WislaKrakow,PolishEsportLeague-WarmUpPGA,Dust2
TYLOO,16-5 ,OneThree,eXTREMESLAND2019ChinaRegionalFinals,Dust2
TYLOO,16-12,OneThree,eXTREMESLAND2019ChinaRegionalFinals,Inferno
TYLOO,16-12,OneThree,eXTREMESLAND2019ChinaRegionalFinals,Inferno
IzakoBoars,6-16 ,Unique,AlienwareGameArena2019Finals,Nuke
IzakoBoars,7-16 ,Unique,AlienwareGameArena2019Finals,Vertigo
IzakoBoars,7-16 ,Unique,AlienwareGameArena2019Finals,Vertigo
MiTH.Maple,7-16 ,DREAMSELLER,eXTREMESLAND2019ThailandRegionalFinals,Dust2
MiTH.Maple,16-10,DREAMSELLER,eXTREMESLAND2019ThailandRegionalFinals,Overpass
MiTH.Maple,16-8 ,DREAMSELLER,eXTREMESLAND2019ThailandRegionalFinals,Inferno
MiTH.Maple,16-8 ,DREAMSELLER,eXTREMESLAND2019ThailandRegionalFinals,Inferno
AlphaRed,13-16,LucidDream,ESLProLeagueSeason10Asia-Pacific,Inferno
AlphaRed,11-16,LucidDream,ESLProLeagueSeason10Asia-Pacific,Dust2
AlphaRed,11-16,LucidDream,ESLProLeagueSeason10Asia-Pacific,Dust2
OneThree,11-16,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Mirage
OneThree,16-13,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Inferno
OneThree,11-16,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Train
OneThree,11-16,EHOME,eXTREMESLAND2019ChinaRegionalFinals,Train
HelsinkiREDS,16-3 ,KOVA,ElisaViihdeLeague,Dust2
HelsinkiREDS,16-5 ,KOVA,ElisaViihdeLeague,Train
HelsinkiREDS,16-5 ,KOVA,ElisaViihdeLeague,Train
PACT,17-19,Ambush,AlienwareGameArena2019Finals,Vertigo
PACT,16-9 ,Ambush,AlienwareGameArena2019Finals,Dust2
PACT,16-4 ,Ambush,AlienwareGameArena2019Finals,Inferno
PACT,16-4 ,Ambush,AlienwareGameArena2019Finals,Inferno
Grayhound,17-19,Chiefs,eXTREMESLAND2019OceaniaRegionalFinals,Mirage
Grayhound,16-10,Chiefs,eXTREMESLAND2019OceaniaRegionalFinals,Nuke
Grayhound,16-8 ,Chiefs,eXTREMESLAND2019OceaniaRegionalFinals,Dust2
Grayhound,16-8 ,Chiefs,eXTREMESLAND2019OceaniaRegionalFinals,Dust2
Asterion,11-16,CR4ZY,DreamHackOpenRotterdam2019,Train
Asterion,13-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
Asterion,13-16,CR4ZY,DreamHackOpenRotterdam2019,Inferno
BTRG,7-16 ,BOOT,ESLProLeagueSeason10Asia-Pacific,Mirage
BTRG,7-16 ,BOOT,ESLProLeagueSeason10Asia-Pacific,Dust2
BTRG,7-16 ,BOOT,ESLProLeagueSeason10Asia-Pacific,Dust2
Beyond,16-0 ,VTE,eXTREMESLAND2019ThailandRegionalFinals,Inferno
Beyond,16-3 ,VTE,eXTREMESLAND2019ThailandRegionalFinals,Train
Beyond,16-3 ,VTE,eXTREMESLAND2019ThailandRegionalFinals,Train
SJ,16-4 ,KOVA,ElisaViihdeLeague,Train
SJ,16-12,KOVA,ElisaViihdeLeague,Vertigo
SJ,16-12,KOVA,ElisaViihdeLeague,Vertigo
TYLOO,16-7 ,ViCi,eXTREMESLAND2019ChinaRegionalFinals,Inferno
TYLOO,11-16,ViCi,eXTREMESLAND2019ChinaRegionalFinals,Mirage
TYLOO,13-16,ViCi,eXTREMESLAND2019ChinaRegionalFinals,Overpass
TYLOO,13-16,ViCi,eXTREMESLAND2019ChinaRegionalFinals,Overpass
Besiktas,5-16 ,HardLegion,DreamHackOpenRotterdam2019,Train
Besiktas,3-16 ,HardLegion,DreamHackOpenRotterdam2019,Mirage
Besiktas,3-16 ,HardLegion,DreamHackOpenRotterdam2019,Mirage
LucidDream,16-6 ,Astro,eXTREMESLAND2019ThailandRegionalFinals,Mirage
LucidDream,16-2 ,Astro,eXTREMESLAND2019ThailandRegionalFinals,Nuke
LucidDream,16-2 ,Astro,eXTREMESLAND2019ThailandRegionalFinals,Nuke
Chiefs,8-16 ,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Dust2
Chiefs,16-12,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Nuke
Chiefs,16-12,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Overpass
Chiefs,16-12,AVANT,eXTREMESLAND2019OceaniaRegionalFinals,Overpass
Isurus,10-16,Sharks,ESLProLeagueSeason10Americas,Nuke
Isurus,13-16,Sharks,ESLProLeagueSeason10Americas,Inferno
Isurus,13-16,Sharks,ESLProLeagueSeason10Americas,Inferno
AlphaRed,16-0 ,Legend,eXTREMESLAND2019ThailandRegionalFinals,Train
AlphaRed,16-4 ,Legend,eXTREMESLAND2019ThailandRegionalFinals,Dust2
AlphaRed,16-4 ,Legend,eXTREMESLAND2019ThailandRegionalFinals,Dust2
Grayhound,16-4 ,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Inferno
Grayhound,22-20,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Nuke
Grayhound,22-20,ORDER,eXTREMESLAND2019OceaniaRegionalFinals,Nuke
DETONA,16-8 ,Infinity,ESLProLeagueSeason10Americas,Inferno
DETONA,16-13,Infinity,ESLProLeagueSeason10Americas,Train
DETONA,16-13,Infinity,ESLProLeagueSeason10Americas,Train
Malvinas,16-14,Sinisters,LaLigaProTrust2019-ClausuraFinals,Overpass
Malvinas,16-4 ,Sinisters,LaLigaProTrust2019-ClausuraFinals,Mirage
Malvinas,16-4 ,Sinisters,LaLigaProTrust2019-ClausuraFinals,Mirage
Ancient,19-16,SMASH,UnitedMastersLeagueSeason2Qualifier3,Inferno
Ancient,11-16,SMASH,UnitedMastersLeagueSeason2Qualifier3,Nuke
Ancient,16-12,SMASH,UnitedMastersLeagueSeason2Qualifier3,Dust2
Ancient,16-12,SMASH,UnitedMastersLeagueSeason2Qualifier3,Dust2
G2,16-13,HellRaisers,ESLProLeagueSeason10Europe,Vertigo
G2,16-10,HellRaisers,ESLProLeagueSeason10Europe,Dust2
G2,16-10,HellRaisers,ESLProLeagueSeason10Europe,Dust2
9z,16-11,Hawks,LaLigaProTrust2019-ClausuraFinals,Inferno
9z,16-1 ,Hawks,LaLigaProTrust2019-ClausuraFinals,Train
9z,16-1 ,Hawks,LaLigaProTrust2019-ClausuraFinals,Train
HelsinkiREDS,16-14,Conquer,ElisaViihdeLeague,Train
HelsinkiREDS,9-16 ,Conquer,ElisaViihdeLeague,Nuke
HelsinkiREDS,16-2 ,Conquer,ElisaViihdeLeague,Inferno
HelsinkiREDS,16-2 ,Conquer,ElisaViihdeLeague,Inferno
SMASH,16-5 ,SKADE,UnitedMastersLeagueSeason2Qualifier3,Nuke
SMASH,7-16 ,SKADE,UnitedMastersLeagueSeason2Qualifier3,Inferno
SMASH,16-7 ,SKADE,UnitedMastersLeagueSeason2Qualifier3,Train
SMASH,16-7 ,SKADE,UnitedMastersLeagueSeason2Qualifier3,Train
NatusVincere,16-7 ,Windigo,ESLProLeagueSeason10Europe,Overpass
NatusVincere,16-10,Windigo,ESLProLeagueSeason10Europe,Inferno
NatusVincere,16-10,Windigo,ESLProLeagueSeason10Europe,Inferno
forZe,16-14,HAVU,DreamHackOpenRotterdam2019,nuke
AVANGAR,16-14,Heroic,DreamHackOpenRotterdam2019,inf
AlphaRed,8-16 ,BTRG,ESLProLeagueSeason10Asia-Pacific,Mirage
AlphaRed,16-11,BTRG,ESLProLeagueSeason10Asia-Pacific,Dust2
AlphaRed,16-11,BTRG,ESLProLeagueSeason10Asia-Pacific,Inferno
AlphaRed,16-11,BTRG,ESLProLeagueSeason10Asia-Pacific,Inferno
CR4ZY,13-16,HAVU,DreamHackOpenRotterdam2019,d2
KOVA,16-5 ,Conquer,ElisaViihdeLeague,Mirage
KOVA,16-9 ,Conquer,ElisaViihdeLeague,Nuke
KOVA,16-9 ,Conquer,ElisaViihdeLeague,Nuke
Ancient,16-6 ,pro100,UnitedMastersLeagueSeason2Qualifier3,Nuke
Ancient,16-2 ,pro100,UnitedMastersLeagueSeason2Qualifier3,Train
Ancient,16-2 ,pro100,UnitedMastersLeagueSeason2Qualifier3,Train
Moops,8-16 ,eSuba,TigerMastersSeason5Finals,Mirage
Moops,11-16,eSuba,TigerMastersSeason5Finals,Train
Moops,11-16,eSuba,TigerMastersSeason5Finals,Train
HardLegion,6-16,Heroic,DreamHackOpenRotterdam2019,ovp
LucidDream,16-12,BOOT,ESLProLeagueSeason10Asia-Pacific,Mirage
LucidDream,16-12,BOOT,ESLProLeagueSeason10Asia-Pacific,Dust2
LucidDream,16-12,BOOT,ESLProLeagueSeason10Asia-Pacific,Dust2
ECLOT,16-9 ,DarkTigers,TigerMastersSeason5Finals,Inferno
ECLOT,16-3 ,DarkTigers,TigerMastersSeason5Finals,Overpass
ECLOT,16-3 ,DarkTigers,TigerMastersSeason5Finals,Overpass
forZe,16-1,Asterion,DreamHackOpenRotterdam2019,inf
SJ,12-16,HelsinkiREDS,ElisaViihdeLeague,Nuke
SJ,16-9 ,HelsinkiREDS,ElisaViihdeLeague,Inferno
SJ,16-14,HelsinkiREDS,ElisaViihdeLeague,Dust2
SJ,16-14,HelsinkiREDS,ElisaViihdeLeague,Dust2
AVANGAR,16-2,Besiktas,DreamHackOpenRotterdam2019,ovp
Isurus,16-13,Infinity,ESLProLeagueSeason10Americas,Mirage
Isurus,19-17,Infinity,ESLProLeagueSeason10Americas,Inferno
Isurus,19-17,Infinity,ESLProLeagueSeason10Americas,Inferno
LiviD,20-22,Divine,ESEAMDLSeason32NorthAmerica,nuke
TeamOne,16-7,Monstars,ESEAMDLSeason32NorthAmerica,ovp
DETONA,12-16,Sharks,ESLProLeagueSeason10Americas,Vertigo
DETONA,12-16,Sharks,ESLProLeagueSeason10Americas,Dust2
DETONA,12-16,Sharks,ESLProLeagueSeason10Americas,Dust2
Mythic,8-16,Ascent,ESEAMDLSeason32NorthAmerica,inf
RiotSquad,16-7,LiviD,ESEAMDLSeason32NorthAmerica,nuke
TheQuest,16-8,MAC-51,ESEAMDLSeason32NorthAmerica,inf
Cloud9,2-16 ,EvilGeniuses,ECSSeason8NorthAmericaWeek3,Train
Cloud9,9-16 ,EvilGeniuses,ECSSeason8NorthAmericaWeek3,Inferno
Cloud9,9-16 ,EvilGeniuses,ECSSeason8NorthAmericaWeek3,Inferno
G2,16-14,Windigo,ESLProLeagueSeason10Europe,Mirage
G2,16-13,Windigo,ESLProLeagueSeason10Europe,Nuke
G2,16-13,Windigo,ESLProLeagueSeason10Europe,Nuke
pro100,2-16 ,Heretics,UnitedMastersLeagueSeason2Qualifier3,Inferno
pro100,16-14,Heretics,UnitedMastersLeagueSeason2Qualifier3,Vertigo
pro100,16-12,Heretics,UnitedMastersLeagueSeason2Qualifier3,Dust2
pro100,16-12,Heretics,UnitedMastersLeagueSeason2Qualifier3,Dust2
m1x,12-16,NiP,ECSSeason8EuropeWeek3,Overpass
m1x,16-12,NiP,ECSSeason8EuropeWeek3,Dust2
m1x,7-16 ,NiP,ECSSeason8EuropeWeek3,Inferno
m1x,7-16 ,NiP,ECSSeason8EuropeWeek3,Inferno
Heretics,16-14,MovistarRiders,UnitedMastersLeagueSeason2Qualifier3,inf
NatusVincere,16-7 ,HellRaisers,ESLProLeagueSeason10Europe,Inferno
NatusVincere,16-7 ,HellRaisers,ESLProLeagueSeason10Europe,Dust2
NatusVincere,16-7 ,HellRaisers,ESLProLeagueSeason10Europe,Dust2
Japaleno,16-14,Nemiga,ESEAMDLSeason32Europe,d2
GamerLegion,16-13,Virtus.pro,ESEAMDLSeason32Europe,mrg
SKADE,16-9,pro100,UnitedMastersLeagueSeason2Qualifier3,trn
Virtus.pro,16-13,Japaleno,ESEAMDLSeason32Europe,inf
Nemiga,19-15,Syman,SECTOR:MOSTBET,Inferno
Nemiga,14-16,Syman,SECTOR:MOSTBET,Mirage
Nemiga,16-4 ,Syman,SECTOR:MOSTBET,Dust2
Nemiga,16-4 ,Syman,SECTOR:MOSTBET,Dust2
pro100,16-10,MovistarRiders,UnitedMastersLeagueSeason2Qualifier3,trn
eSuba,16-10,DarkTigers,TigerMastersSeason5Finals,Inferno
eSuba,22-20,DarkTigers,TigerMastersSeason5Finals,Train
eSuba,22-20,DarkTigers,TigerMastersSeason5Finals,Train
AlphaRed,16-11,BOOT,ESLProLeagueSeason10Asia-Pacific,Inferno
AlphaRed,6-16 ,BOOT,ESLProLeagueSeason10Asia-Pacific,Mirage
AlphaRed,16-3 ,BOOT,ESLProLeagueSeason10Asia-Pacific,Train
AlphaRed,16-3 ,BOOT,ESLProLeagueSeason10Asia-Pacific,Train
SKADE,19-16,Heretics,UnitedMastersLeagueSeason2Qualifier3,inf
LucidDream,16-6 ,BTRG,ESLProLeagueSeason10Asia-Pacific,Nuke
LucidDream,16-12,BTRG,ESLProLeagueSeason10Asia-Pacific,Dust2
LucidDream,16-12,BTRG,ESLProLeagueSeason10Asia-Pacific,Dust2
Airborne,3-1,Genuine,LPLProLeagueSeason3,bo5
Moops,16-14,ECLOT,TigerMastersSeason5Finals,Dust2
Moops,16-2 ,ECLOT,TigerMastersSeason5Finals,Nuke
Moops,16-2 ,ECLOT,TigerMastersSeason5Finals,Nuke
Paradox,7-16,MC,ESEAMDLSeason32Australia,inf
PC419,19-22,SYF,ESEAMDLSeason32Australia,mrg
Paradox,13-16,Jade,ESEAMDLSeason32Australia,d2
madlikewizards,0-1,Grayhound,ESEAMDLSeason32Australia,-
GroundZero,0-1,Grayhound,ESEAMDLSeason32Australia,-
Singularity,10-16,ATK,ESLProLeagueSeason10Americas,Train
Singularity,16-11,ATK,ESLProLeagueSeason10Americas,Dust2
Singularity,14-16,ATK,ESLProLeagueSeason10Americas,Inferno
Singularity,14-16,ATK,ESLProLeagueSeason10Americas,Inferno
Liquid,16-7 ,Renegades,ESLProLeagueSeason10Americas,Mirage
Liquid,16-12,Renegades,ESLProLeagueSeason10Americas,Inferno
Liquid,16-12,Renegades,ESLProLeagueSeason10Americas,Inferno
RiotSquad,12-16,TheQuest,ESEAMDLSeason32NorthAmerica,mrg
Mythic,16-7,BushidoBoyz,ESEAMDLSeason32NorthAmerica,ovp
EvilGeniuses,16-13,Complexity,ECSSeason8NorthAmericaWeek3,Overpass
EvilGeniuses,16-5 ,Complexity,ECSSeason8NorthAmericaWeek3,Inferno
EvilGeniuses,16-5 ,Complexity,ECSSeason8NorthAmericaWeek3,Inferno
North,16-12,Aristocracy,ESLProLeagueSeason10Europe,Nuke
North,8-16 ,Aristocracy,ESLProLeagueSeason10Europe,Train
